instance_name,time_seconds,objective_value,jain_fairness,num_vehicles
instance9_nreq100_nveh2_gamma91,0.000145,10172.207408,0.995655,2
instance26_nreq100_nveh2_gamma89,0.000138,9690.095858,0.998366,2
instance14_nreq100_nveh2_gamma94,0.000138,10105.139466,0.998251,2
instance4_nreq100_nveh2_gamma93,0.000131,10303.025065,0.999573,2
instance12_nreq100_nveh2_gamma91,0.000143,9910.013580,0.999739,2
instance22_nreq100_nveh2_gamma89,0.000128,9730.708909,0.988139,2
instance11_nreq100_nveh2_gamma88,0.000113,9144.535767,0.987947,2
instance18_nreq100_nveh2_gamma87,0.000125,9495.157223,0.995547,2
instance10_nreq100_nveh2_gamma98,0.000143,10057.018247,0.999568,2
instance28_nreq100_nveh2_gamma93,0.000162,9884.112527,0.995954,2
instance5_nreq100_nveh2_gamma88,0.000119,9474.091946,0.993606,2
instance30_nreq100_nveh2_gamma89,0.000122,8987.040842,0.997893,2
instance13_nreq100_nveh2_gamma89,0.000132,10128.176236,0.992675,2
instance24_nreq100_nveh2_gamma84,0.000147,8471.048758,0.998619,2
instance20_nreq100_nveh2_gamma86,0.000127,8966.798352,0.981113,2
instance2_nreq100_nveh2_gamma92,0.000130,9986.004873,0.999780,2
instance21_nreq100_nveh2_gamma88,0.000132,9827.054483,0.999136,2
instance23_nreq100_nveh2_gamma92,0.000129,10033.273810,0.994129,2
instance16_nreq100_nveh2_gamma90,0.000149,10243.388942,0.988985,2
instance17_nreq100_nveh2_gamma86,0.000134,9134.032154,0.999431,2
instance19_nreq100_nveh2_gamma86,0.000188,9618.039788,0.999346,2
instance3_nreq100_nveh2_gamma93,0.000242,9301.283070,0.970409,2
instance15_nreq100_nveh2_gamma89,0.000125,9426.424361,0.967150,2
instance7_nreq100_nveh2_gamma85,0.000158,8941.308508,0.987178,2
instance8_nreq100_nveh2_gamma86,0.000118,9450.884728,0.980577,2
instance27_nreq100_nveh2_gamma90,0.000159,9208.008064,0.999867,2
instance25_nreq100_nveh2_gamma93,0.000128,9929.097135,0.997868,2
instance29_nreq100_nveh2_gamma92,0.000207,9508.334306,0.991659,2
instance6_nreq100_nveh2_gamma89,0.000119,9302.625313,0.971223,2
instance1_nreq100_nveh2_gamma89,0.000125,10025.112153,0.997703,2
