instance_name,time_seconds,objective_value,jain_fairness,num_vehicles
instance25_nreq2000_nveh40_gamma1783,0.020460,843823.246104,0.976670,40
instance9_nreq2000_nveh40_gamma1828,0.023014,872168.252459,0.971276,40
instance23_nreq2000_nveh40_gamma1888,0.022166,891260.288582,0.986628,40
instance1_nreq2000_nveh40_gamma1871,0.023088,876711.751751,0.969270,40
instance22_nreq2000_nveh40_gamma1890,0.023135,903366.039730,0.972195,40
instance3_nreq2000_nveh40_gamma1848,0.022530,872988.548983,0.971757,40
instance17_nreq2000_nveh40_gamma1822,0.021677,847901.570377,0.973349,40
instance14_nreq2000_nveh40_gamma1807,0.023060,846184.638441,0.975912,40
instance11_nreq2000_nveh40_gamma1799,0.023419,840983.498786,0.971602,40
instance19_nreq2000_nveh40_gamma1770,0.022148,839684.203560,0.979053,40
instance7_nreq2000_nveh40_gamma1889,0.023920,879129.301182,0.984007,40
instance4_nreq2000_nveh40_gamma1838,0.023802,861498.940550,0.980629,40
instance15_nreq2000_nveh40_gamma1754,0.023168,818524.679300,0.970237,40
instance29_nreq2000_nveh40_gamma1804,0.023210,852333.961041,0.969997,40
instance30_nreq2000_nveh40_gamma1875,0.023103,888666.720325,0.967101,40
instance12_nreq2000_nveh40_gamma1854,0.023814,882941.524857,0.979838,40
instance5_nreq2000_nveh40_gamma1726,0.023565,804354.291677,0.968475,40
instance13_nreq2000_nveh40_gamma1745,0.021647,822305.070111,0.972253,40
instance26_nreq2000_nveh40_gamma1756,0.021788,832523.970578,0.968159,40
instance20_nreq2000_nveh40_gamma1792,0.022221,844715.727654,0.975789,40
instance2_nreq2000_nveh40_gamma1768,0.021639,842597.733316,0.970849,40
instance21_nreq2000_nveh40_gamma1777,0.021983,838472.167049,0.975746,40
instance27_nreq2000_nveh40_gamma1870,0.023164,874909.694562,0.980682,40
instance16_nreq2000_nveh40_gamma1852,0.022707,877421.463085,0.983393,40
instance6_nreq2000_nveh40_gamma1663,0.020383,786962.357940,0.977046,40
instance18_nreq2000_nveh40_gamma1748,0.021254,813449.519505,0.977500,40
instance28_nreq2000_nveh40_gamma1833,0.022359,864776.206145,0.972967,40
instance8_nreq2000_nveh40_gamma1753,0.021373,815031.388674,0.981793,40
instance10_nreq2000_nveh40_gamma1784,0.021774,839046.274714,0.975291,40
instance24_nreq2000_nveh40_gamma1789,0.021977,841245.527173,0.977912,40
