instance_name,time_seconds,objective_value,jain_fairness,num_vehicles
instance18_nreq200_nveh4_gamma187,0.000404,28834.057180,0.998408,4
instance1_nreq200_nveh4_gamma177,0.000349,26139.071761,0.982715,4
instance24_nreq200_nveh4_gamma180,0.000387,27842.389132,0.998945,4
instance16_nreq200_nveh4_gamma188,0.000380,27414.421117,0.995636,4
instance20_nreq200_nveh4_gamma183,0.000504,27392.345709,0.970014,4
instance22_nreq200_nveh4_gamma180,0.000400,26826.900785,0.975737,4
instance11_nreq200_nveh4_gamma182,0.000426,27571.356150,0.995250,4
instance25_nreq200_nveh4_gamma172,0.000345,25912.000707,0.990157,4
instance26_nreq200_nveh4_gamma175,0.000408,25128.651150,0.982542,4
instance23_nreq200_nveh4_gamma172,0.000408,25500.980294,0.973461,4
instance12_nreq200_nveh4_gamma188,0.000398,26882.648017,0.964140,4
instance19_nreq200_nveh4_gamma195,0.000476,29066.145858,0.994677,4
instance8_nreq200_nveh4_gamma182,0.000433,27726.823576,0.988847,4
instance2_nreq200_nveh4_gamma172,0.000356,26122.001742,0.997492,4
instance17_nreq200_nveh4_gamma185,0.000417,27145.398026,0.989835,4
instance9_nreq200_nveh4_gamma182,0.000380,27171.182441,0.987057,4
instance6_nreq200_nveh4_gamma178,0.000377,26872.240385,0.999230,4
instance15_nreq200_nveh4_gamma182,0.000370,27572.828044,0.984875,4
instance21_nreq200_nveh4_gamma180,0.000361,27750.759157,0.982591,4
instance27_nreq200_nveh4_gamma173,0.000347,25933.978930,0.970033,4
instance14_nreq200_nveh4_gamma181,0.000361,26031.695584,0.977593,4
instance4_nreq200_nveh4_gamma187,0.000417,29233.857823,0.996970,4
instance13_nreq200_nveh4_gamma180,0.000390,27124.977840,0.989712,4
instance3_nreq200_nveh4_gamma180,0.000388,27217.197896,0.984157,4
instance5_nreq200_nveh4_gamma188,0.000394,27506.422630,0.988993,4
instance29_nreq200_nveh4_gamma177,0.000382,27252.049042,0.989338,4
instance30_nreq200_nveh4_gamma177,0.000359,26195.145853,0.978701,4
instance28_nreq200_nveh4_gamma176,0.000371,25728.515902,0.998445,4
instance10_nreq200_nveh4_gamma182,0.000365,26368.132714,0.992676,4
instance7_nreq200_nveh4_gamma175,0.000360,26122.686369,0.977892,4
