instance_name,time_seconds,objective_value,jain_fairness,num_vehicles
instance18_nreq200_nveh4_gamma187,0.011666,29183.228443,0.998151,4
instance1_nreq200_nveh4_gamma177,0.011463,25728.613892,0.996546,4
instance24_nreq200_nveh4_gamma180,0.011777,27283.105856,0.997000,4
instance16_nreq200_nveh4_gamma188,0.011520,26243.136775,0.996509,4
instance20_nreq200_nveh4_gamma183,0.012098,27512.731321,0.996544,4
instance22_nreq200_nveh4_gamma180,0.011270,26335.503639,0.998766,4
instance11_nreq200_nveh4_gamma182,0.011867,27282.969540,0.996604,4
instance25_nreq200_nveh4_gamma172,0.011662,24585.081996,0.999731,4
instance26_nreq200_nveh4_gamma175,0.011573,25779.550564,0.993305,4
instance23_nreq200_nveh4_gamma172,0.011568,25013.797687,0.997879,4
instance12_nreq200_nveh4_gamma188,0.011923,26824.815488,0.998131,4
instance19_nreq200_nveh4_gamma195,0.011988,28715.418923,0.996480,4
instance8_nreq200_nveh4_gamma182,0.012257,27396.664395,0.995145,4
instance2_nreq200_nveh4_gamma172,0.011958,26264.192372,0.992008,4
instance17_nreq200_nveh4_gamma185,0.011442,26628.710045,0.998359,4
instance9_nreq200_nveh4_gamma182,0.012178,26998.032314,0.993711,4
instance6_nreq200_nveh4_gamma178,0.011499,26616.936111,0.997001,4
instance15_nreq200_nveh4_gamma182,0.011692,26761.544279,0.991220,4
instance21_nreq200_nveh4_gamma180,0.011474,27407.288847,0.995286,4
instance27_nreq200_nveh4_gamma173,0.012092,26012.519084,0.998441,4
instance14_nreq200_nveh4_gamma181,0.011686,25407.487618,0.995022,4
instance4_nreq200_nveh4_gamma187,0.011907,28225.867223,0.996936,4
instance13_nreq200_nveh4_gamma180,0.013626,27375.417040,0.997831,4
instance3_nreq200_nveh4_gamma180,0.011583,27346.894952,0.994224,4
instance5_nreq200_nveh4_gamma188,0.012076,27705.761769,0.996539,4
instance29_nreq200_nveh4_gamma177,0.012857,26284.512398,0.998651,4
instance30_nreq200_nveh4_gamma177,0.011370,25992.176384,0.998806,4
instance28_nreq200_nveh4_gamma176,0.012083,25256.143005,0.996555,4
instance10_nreq200_nveh4_gamma182,0.011765,27060.183330,0.999571,4
instance7_nreq200_nveh4_gamma175,0.012101,26409.708905,0.997656,4
