instance_name,time_seconds,objective_value,jain_fairness,num_vehicles
instance18_nreq200_nveh4_gamma187,0.081443,1076.346311,0.972379,4
instance1_nreq200_nveh4_gamma177,0.074639,1081.019631,0.932364,4
instance24_nreq200_nveh4_gamma180,0.073115,1136.055190,0.951027,4
instance16_nreq200_nveh4_gamma188,0.088561,1233.299544,0.986796,4
instance20_nreq200_nveh4_gamma183,0.084288,987.192662,0.956561,4
instance22_nreq200_nveh4_gamma180,0.078874,1142.757254,0.988342,4
instance11_nreq200_nveh4_gamma182,0.077499,1096.947803,0.947642,4
instance25_nreq200_nveh4_gamma172,0.081616,1136.067388,0.930895,4
instance26_nreq200_nveh4_gamma175,0.081257,991.848252,0.895409,4
instance23_nreq200_nveh4_gamma172,0.081913,1342.611273,0.958487,4
instance12_nreq200_nveh4_gamma188,0.084235,1261.548174,0.962077,4
instance19_nreq200_nveh4_gamma195,0.077704,1267.613835,0.983594,4
instance8_nreq200_nveh4_gamma182,0.078248,1220.464739,0.914057,4
instance2_nreq200_nveh4_gamma172,0.087543,1458.464741,0.946263,4
instance17_nreq200_nveh4_gamma185,0.080990,1360.311021,0.973858,4
instance9_nreq200_nveh4_gamma182,0.091996,1315.461071,0.986195,4
instance6_nreq200_nveh4_gamma178,0.082513,1053.286990,0.970246,4
instance15_nreq200_nveh4_gamma182,0.076168,1292.192856,0.953257,4
instance21_nreq200_nveh4_gamma180,0.081308,1268.023208,0.981626,4
instance27_nreq200_nveh4_gamma173,0.075725,1271.113164,0.975636,4
instance14_nreq200_nveh4_gamma181,0.076106,1000.215213,0.965814,4
instance4_nreq200_nveh4_gamma187,0.075799,1180.423580,0.920784,4
instance13_nreq200_nveh4_gamma180,0.083120,1242.099574,0.937063,4
instance3_nreq200_nveh4_gamma180,0.075306,1169.853110,0.954727,4
instance5_nreq200_nveh4_gamma188,0.075315,1035.837008,0.982567,4
instance29_nreq200_nveh4_gamma177,0.073010,1059.116579,0.986527,4
instance30_nreq200_nveh4_gamma177,0.081656,1246.236899,0.978085,4
instance28_nreq200_nveh4_gamma176,0.078117,1260.870546,0.988334,4
instance10_nreq200_nveh4_gamma182,0.078603,1253.228816,0.952708,4
instance7_nreq200_nveh4_gamma175,0.072940,1070.580585,0.945177,4
