200 4 100 187 283.07
# demands
29 32 34 17 19 35 22 41 17 19 25 17 39 30 48 30 25 21 24 27 24 30 29 23 17 21 33 38 35 35 40 35 25 24 24 20 22 27 22 44 29 22 34 21 21 19 20 23 24 32 20 20 39 38 38 40 37 45 22 38 37 21 30 34 37 23 21 18 23 26 19 22 18 23 39 21 42 25 28 26 33 19 24 30 35 20 28 21 28 40 35 24 43 24 29 50 33 21 23 26 22 19 33 17 30 21 34 27 33 18 39 18 41 18 22 26 25 29 37 23 26 18 27 34 22 32 20 25 37 44 21 27 26 24 30 26 17 18 24 27 47 18 37 25 25 19 33 29 26 39 21 29 23 36 45 21 34 23 28 25 31 21 22 44 30 19 29 24 20 31 43 37 23 43 47 31 21 38 26 26 22 21 45 21 24 17 24 19 44 27 29 18 21 36 27 23 22 27 38 25
# request locations
71 71
42 89
2 122
83 57
57 112
101 57
61 7
83 13
10 70
61 56
73 37
9 86
52 52
54 13
107 66
59 117
56 114
14 78
77 71
83 40
139 117
128 84
68 46
64 113
67 141
69 28
5 53
130 118
116 122
141 83
102 33
123 9
100 134
119 69
114 57
133 81
77 122
93 45
14 116
87 88
37 17
85 91
70 24
63 6
116 9
14 34
115 53
39 50
125 51
33 50
130 140
62 118
25 129
54 28
102 95
112 89
60 14
8 79
81 0
36 123
57 60
115 29
24 50
47 32
113 118
127 93
102 135
88 132
100 49
92 42
82 123
5 10
36 9
134 33
70 103
61 18
114 125
9 104
141 104
135 100
10 56
119 78
68 41
24 134
41 34
124 7
34 74
28 91
77 61
58 73
32 130
87 0
118 111
64 108
49 45
98 24
35 39
110 21
54 108
1 52
119 74
139 42
23 128
110 85
13 46
55 141
56 11
80 104
28 117
137 18
94 59
81 28
104 53
137 95
65 68
89 95
91 15
108 2
33 31
3 61
119 61
53 38
84 139
66 54
67 44
59 11
17 45
139 50
87 93
59 90
39 76
6 116
101 11
57 96
127 127
82 72
2 132
5 24
10 43
4 57
22 30
39 51
64 116
70 130
123 48
41 39
74 126
32 117
12 59
75 112
91 8
30 58
135 112
29 80
85 126
43 51
31 112
83 136
76 77
114 104
13 96
1 13
76 38
95 52
100 100
28 103
58 115
56 120
10 35
104 129
11 116
105 42
108 15
51 122
93 108
138 118
10 64
125 101
59 131
9 129
50 84
133 60
77 47
93 59
13 46
76 98
80 69
82 43
63 93
127 135
85 109
30 32
8 31
33 33
2 88
124 30
44 67
136 97
80 127
104 127
139 125
125 132
59 22
50 83
121 88
50 6
106 74
120 5
74 61
25 93
14 124
69 75
130 57
40 42
13 2
7 63
135 96
95 42
31 140
82 115
113 96
137 15
75 46
39 79
83 89
108 105
6 64
120 63
33 58
27 134
61 6
25 80
54 123
63 120
74 79
76 53
6 92
38 140
95 60
100 2
46 76
51 137
38 86
42 117
16 8
14 82
4 23
129 85
127 111
81 139
132 54
8 36
106 19
128 31
96 11
81 61
94 105
68 43
79 18
103 137
17 141
109 81
75 91
81 40
79 133
12 103
44 82
8 18
22 99
36 78
116 94
129 64
49 116
91 56
125 123
132 40
38 129
66 126
121 39
27 29
91 89
42 27
99 117
28 121
101 101
36 110
133 6
2 84
6 138
98 4
47 40
77 75
93 15
133 22
77 13
42 58
68 13
23 122
120 18
25 35
66 8
62 134
73 3
36 43
108 43
59 77
100 12
6 50
85 91
5 122
65 89
112 25
46 54
39 124
15 45
46 30
97 77
87 120
40 42
7 84
36 53
45 114
127 27
53 106
138 138
35 118
25 101
7 84
54 52
81 45
107 140
55 127
8 114
136 21
12 94
17 82
95 135
34 1
59 85
61 70
40 30
106 67
117 53
84 73
115 79
78 68
39 86
32 102
65 80
49 91
137 132
136 9
121 60
119 98
10 66
98 80
64 49
84 56
42 114
69 39
6 17
129 99
33 7
21 71
28 2
104 59
22 58
67 56
40 13
19 76
72 48
76 135
121 131
104 129
28 109
6 34
59 77
136 127
118 13
3 137
81 1
133 103
19 48
27 2
129 125
61 90
22 54
126 68
76 46
30 35
112 121
55 10
17 21
130 66
25 110
123 47
127 116
46 47
128 11
131 134
81 55
