200 4 100 188 436.36
# demands
31 25 20 30 25 37 23 33 30 26 27 32 24 33 19 21 36 35 24 18 24 25 30 26 27 19 30 22 32 19 22 22 23 29 36 38 23 24 23 22 21 20 26 27 29 26 22 23 19 28 25 22 25 29 26 28 27 25 23 27 20 22 23 22 20 24 29 37 29 22 21 29 20 23 20 31 23 28 25 17 28 22 21 19 44 33 23 27 25 21 25 25 20 28 23 38 22 20 20 25 50 26 24 20 21 31 24 17 23 30 23 24 22 27 22 23 21 27 21 42 26 19 29 20 44 21 30 19 21 20 35 22 24 20 41 17 36 26 38 25 21 32 26 27 26 25 20 23 21 21 27 22 28 24 23 18 20 35 26 35 36 32 20 40 18 21 20 46 28 22 24 23 25 19 24 35 27 21 30 20 27 27 32 36 29 18 19 27 23 36 36 27 24 30 27 23 32 28 23 26
# request locations
71 71
40 56
123 124
19 63
119 24
9 32
115 25
116 99
108 82
68 49
46 48
61 5
121 129
99 67
32 25
21 116
139 5
8 82
33 113
71 128
132 69
51 52
102 74
45 114
5 127
106 3
141 86
65 118
33 1
107 44
64 45
76 48
84 78
90 108
40 51
63 87
111 134
1 14
38 27
34 8
132 8
138 83
43 11
29 89
22 62
115 43
65 14
60 66
32 3
59 127
99 103
55 26
53 104
13 1
3 116
99 125
49 13
74 18
22 92
18 62
22 46
23 11
100 123
35 133
79 38
72 22
135 59
3 56
118 75
103 52
60 109
42 89
135 10
20 106
37 102
108 18
84 74
23 63
105 96
43 15
137 10
74 17
19 125
92 103
127 26
49 30
98 43
11 75
100 4
40 8
132 76
24 51
60 66
122 49
136 86
66 9
127 92
11 98
108 2
73 94
20 62
22 131
27 57
53 4
19 35
138 59
136 120
68 25
126 106
87 77
41 12
64 41
105 77
86 67
129 46
73 28
137 43
109 37
28 44
85 101
2 95
6 137
107 90
127 62
113 17
45 29
76 134
30 69
105 47
36 80
1 45
3 67
16 82
40 13
24 58
3 75
12 54
44 87
46 63
55 65
100 19
119 11
5 25
120 17
126 27
139 49
123 16
70 120
107 72
4 75
25 101
105 109
59 39
76 65
81 60
126 97
60 86
132 85
117 46
64 57
123 109
13 66
22 129
44 49
117 18
58 139
78 23
138 80
50 84
14 74
6 1
116 72
88 52
29 93
39 10
72 18
31 40
99 102
131 30
73 88
13 101
86 38
13 19
18 138
52 131
131 77
46 29
62 89
126 67
99 132
98 119
45 62
26 113
64 35
98 105
73 8
84 32
46 87
62 100
96 13
77 80
26 58
45 87
83 21
62 54
100 20
42 104
12 81
140 132
4 24
82 4
74 104
5 116
46 66
91 40
91 13
104 23
42 24
43 38
7 39
60 13
102 27
108 129
91 114
65 17
9 46
106 42
29 106
128 17
41 13
88 128
63 38
28 74
29 61
107 61
128 82
8 56
64 45
105 81
75 36
127 69
141 90
85 27
102 137
136 5
83 125
17 50
49 114
119 70
36 140
11 98
138 8
121 85
131 99
95 93
141 30
68 9
128 138
40 129
44 18
85 106
106 84
125 136
32 51
28 111
120 83
87 46
7 125
67 57
20 53
28 42
87 23
135 102
71 129
27 27
5 117
120 75
44 110
52 55
118 116
35 91
130 127
106 71
85 57
92 69
56 30
135 72
32 107
87 6
91 123
33 97
70 26
138 1
126 104
136 68
31 3
94 27
127 44
87 140
79 22
22 74
1 97
87 60
87 35
106 130
76 3
119 66
43 3
82 25
111 118
43 69
28 43
26 93
65 82
55 105
25 13
101 91
112 99
43 93
87 52
19 68
87 23
10 29
44 135
103 51
65 54
131 22
84 42
53 80
109 11
90 117
65 90
81 129
50 87
67 32
11 6
54 25
26 28
40 56
112 14
118 65
111 109
96 63
99 91
37 117
100 0
123 73
110 66
108 30
123 55
70 128
37 44
11 78
47 84
41 86
117 85
120 13
61 53
93 8
37 120
132 137
30 69
86 141
64 52
102 26
91 48
5 104
128 95
39 91
51 60
135 3
56 9
122 55
133 83
24 120
99 11
128 132
75 30
70 52
102 96
17 67
116 137
58 1
40 54
92 107
82 16
75 36
106 85
53 30
21 92
18 44
85 116
67 137
45 70
34 114
93 25
19 88
66 20
72 94
117 60
34 4
