200 4 100 183 211.62
# demands
33 36 42 30 20 30 42 17 32 35 32 40 21 20 24 20 26 30 26 26 26 18 20 34 21 46 35 20 31 24 22 31 21 18 30 22 44 34 42 20 26 26 21 32 23 23 26 23 45 20 26 36 19 38 22 24 21 24 23 20 17 21 33 33 24 27 28 24 29 28 22 21 23 37 21 31 31 27 18 23 22 18 34 23 25 27 24 17 38 41 19 18 17 19 27 18 24 26 26 39 28 29 25 25 24 24 26 23 26 26 32 26 31 26 34 26 22 24 21 19 38 20 23 22 50 20 32 19 20 29 29 26 24 20 23 29 28 21 18 37 40 23 21 30 36 42 19 31 26 34 35 29 29 25 34 19 22 21 30 23 28 26 26 20 32 38 43 19 36 19 27 26 19 47 26 23 30 20 25 22 23 20 27 32 32 30 41 34 30 17 32 22 20 26 21 46 44 46 27 42
# request locations
71 71
39 85
57 103
136 36
117 3
34 104
122 87
99 137
91 19
15 89
25 15
74 77
102 54
62 42
66 75
47 14
103 65
27 24
140 116
107 102
85 111
86 9
19 57
40 93
13 36
24 117
107 15
62 103
129 132
0 115
111 48
119 90
130 17
131 61
44 106
39 28
109 124
28 92
96 93
128 4
46 44
95 119
112 48
51 131
82 57
90 57
74 11
88 92
40 49
31 13
98 12
93 133
78 110
60 76
101 48
132 63
122 28
15 58
60 118
116 102
141 64
46 68
83 96
63 123
64 140
139 106
67 53
104 79
49 137
39 62
27 124
14 22
49 107
8 99
49 112
93 69
20 114
102 75
139 118
98 71
116 61
64 18
32 69
93 2
35 46
13 90
30 99
130 62
51 20
67 133
53 83
40 122
58 134
97 131
10 2
55 128
93 58
138 89
82 90
100 54
121 74
64 132
74 132
13 99
88 5
120 128
0 0
48 36
6 68
47 75
32 104
45 5
85 42
93 51
122 30
106 14
95 76
95 88
68 38
56 37
23 98
115 102
20 102
71 132
67 139
58 128
43 117
11 42
120 50
17 65
60 80
61 43
35 64
62 28
80 106
117 15
46 125
119 21
115 20
134 135
77 22
84 33
17 106
71 5
78 83
4 124
66 111
140 50
124 7
46 30
11 111
136 83
139 116
105 87
104 127
130 126
40 97
82 36
33 2
112 58
0 97
118 116
34 51
40 84
12 34
71 137
70 80
117 69
99 76
33 72
55 56
134 94
85 70
56 115
87 58
43 105
64 54
100 9
83 100
123 48
7 25
8 85
64 29
40 101
50 108
120 49
68 141
68 19
84 71
61 25
132 92
41 70
58 74
72 69
27 71
99 132
116 107
66 87
94 69
118 104
43 140
39 123
55 73
82 53
88 87
128 70
65 76
5 90
91 35
120 7
16 70
64 120
78 53
1 55
66 3
94 102
3 51
81 11
123 86
22 130
69 38
114 77
112 87
18 7
136 28
66 13
8 68
25 77
46 81
112 57
45 119
104 11
51 65
108 57
4 108
28 23
79 121
122 36
22 106
141 35
29 54
98 86
45 119
104 48
59 108
55 108
135 57
17 136
11 80
43 41
64 126
1 99
89 63
29 24
107 40
27 46
68 40
102 20
16 121
134 120
112 49
110 100
26 11
85 16
7 41
56 3
51 88
31 57
4 107
28 72
135 24
129 85
75 66
35 43
79 78
41 113
10 98
52 122
77 14
56 48
19 123
76 32
111 113
49 122
105 114
82 125
56 123
96 89
29 80
52 1
99 111
21 25
77 47
60 91
137 75
124 126
84 62
72 139
68 137
26 40
49 61
57 37
76 59
42 16
93 71
131 75
49 4
18 56
64 113
2 109
35 15
133 132
136 88
8 140
121 117
1 40
101 14
68 49
26 93
89 86
11 43
24 78
131 76
55 127
139 120
52 128
101 18
38 89
54 2
57 102
138 126
122 32
92 121
55 55
94 112
37 85
102 99
127 105
2 91
131 12
35 30
33 24
34 48
4 79
100 85
25 78
20 67
89 138
56 102
95 102
130 96
60 49
32 138
44 8
20 104
21 22
56 95
70 7
29 132
60 72
85 117
55 66
51 102
119 48
100 107
27 58
47 29
20 134
29 4
127 33
121 34
5 104
124 133
88 4
74 129
91 94
67 32
132 133
135 69
98 4
9 78
94 41
119 6
56 104
34 47
47 87
122 20
83 53
14 87
41 134
11 92
13 73
1 33
108 6
61 41
91 70
67 136
40 31
1 130
2 109
120 38
