200 4 100 172 304.86
# demands
31 19 28 21 18 17 22 29 22 26 21 23 24 20 21 27 20 32 26 24 24 18 30 46 22 31 43 23 34 30 26 25 25 33 21 23 22 19 25 18 36 20 26 22 23 24 24 22 21 23 22 26 21 24 25 29 20 35 20 30 21 30 19 26 23 39 50 23 23 25 25 27 20 20 31 33 21 21 27 19 32 18 25 37 28 26 19 20 20 20 32 37 22 28 28 25 30 23 20 20 22 26 34 18 17 25 23 42 24 26 20 32 35 35 31 24 20 25 34 18 28 19 34 23 31 29 24 31 34 22 23 19 24 29 31 26 21 23 23 22 22 20 25 23 32 31 31 23 34 23 31 26 26 22 23 22 36 18 19 25 20 19 29 22 26 18 20 30 24 19 22 40 30 20 23 25 24 22 48 33 26 30 34 25 18 31 21 21 25 28 35 19 32 30 21 22 23 34 22 21
# request locations
71 71
103 12
75 108
4 126
93 106
62 39
82 16
135 84
123 40
28 8
71 18
126 132
116 43
140 77
53 89
76 12
108 30
62 97
82 113
26 27
118 87
59 50
101 98
124 91
21 117
68 81
94 49
43 117
127 68
84 2
138 3
110 141
21 5
52 96
80 15
83 29
88 0
64 112
68 31
48 75
102 30
67 63
107 80
115 135
30 61
82 73
97 141
52 78
72 86
134 107
43 9
108 17
17 11
43 134
31 58
10 56
40 73
12 133
66 24
48 136
46 84
15 33
53 7
93 111
124 80
83 29
25 106
134 15
6 56
83 106
135 138
8 83
81 110
38 135
135 91
101 93
76 77
25 85
18 137
66 64
81 95
60 60
138 93
116 104
0 136
130 25
72 109
122 75
80 1
133 51
115 104
118 3
98 140
94 78
11 55
33 11
23 15
4 87
90 26
34 69
18 104
11 102
134 18
110 24
45 60
13 41
2 41
104 73
43 129
76 51
123 121
27 114
109 77
62 63
42 57
35 81
63 71
9 31
109 9
12 60
31 91
130 64
51 26
40 81
6 65
59 23
36 31
56 116
123 138
64 116
50 51
17 19
24 32
4 119
13 32
12 35
63 58
29 45
78 120
111 132
42 111
98 92
94 89
87 104
4 59
25 26
69 9
14 16
53 33
92 20
11 58
44 57
110 53
38 101
49 108
7 33
28 79
70 75
114 105
36 119
128 42
58 38
100 135
36 131
56 105
86 122
114 135
102 53
35 97
125 105
50 139
49 65
42 15
86 61
3 31
1 3
60 53
7 93
16 52
14 34
26 24
78 94
134 12
60 122
112 80
127 38
97 24
29 115
29 105
23 105
14 86
36 63
53 140
44 97
44 54
123 109
107 137
14 107
82 41
126 112
15 62
43 65
120 117
29 63
44 4
52 48
17 5
86 139
108 52
2 18
127 14
132 76
38 13
67 6
15 131
51 73
120 136
81 57
33 127
57 95
33 15
108 31
97 51
17 11
59 122
133 81
79 82
88 100
139 82
28 134
135 86
59 141
95 20
95 132
83 9
39 124
127 45
88 60
32 106
105 59
46 4
52 39
16 115
99 140
71 89
117 80
132 53
22 52
90 12
109 112
95 0
97 115
90 23
82 64
94 119
119 140
55 92
93 55
77 17
128 68
127 108
52 77
93 100
49 15
31 22
138 56
24 16
90 121
35 24
115 26
34 82
126 86
24 104
26 62
110 3
104 26
15 6
50 107
123 108
65 93
37 106
8 35
80 129
104 73
140 72
113 41
33 95
24 130
94 68
63 138
30 71
80 75
63 73
140 79
138 48
12 44
138 47
63 109
26 24
17 38
61 72
130 127
89 55
41 57
126 40
41 90
127 51
10 101
81 130
119 98
111 6
114 10
45 50
36 72
20 3
115 10
117 50
31 52
24 85
2 31
138 68
97 94
48 27
117 97
57 27
52 126
55 79
85 44
77 19
24 62
46 114
16 3
39 63
12 20
117 51
139 98
40 112
65 12
36 117
8 74
122 117
112 81
84 122
99 33
125 4
28 125
85 56
136 13
99 53
83 106
41 109
16 69
118 136
86 41
102 104
32 76
103 55
108 18
71 45
24 133
132 87
58 108
83 10
26 50
11 139
117 77
44 130
46 107
74 109
18 51
27 27
2 14
128 129
132 97
55 77
18 50
71 94
32 20
71 113
108 81
89 62
39 9
57 98
89 66
21 111
64 108
116 86
61 101
141 34
14 19
30 89
99 38
38 57
0 45
24 96
61 114
43 56
13 77
15 126
79 119
137 63
