instance_name,time_seconds,objective_value,jain_fairness,num_vehicles
instance21_nreq500_nveh10_gamma427,0.075272,97769.054371,0.994173,10
instance20_nreq500_nveh10_gamma470,0.074653,110654.690548,0.997194,10
instance24_nreq500_nveh10_gamma458,0.073006,105884.408525,0.994691,10
instance13_nreq500_nveh10_gamma428,0.074014,97198.868307,0.993609,10
instance10_nreq500_nveh10_gamma428,0.072696,98117.133486,0.993978,10
instance30_nreq500_nveh10_gamma471,0.072973,110165.809993,0.997846,10
instance7_nreq500_nveh10_gamma446,0.073730,106267.290569,0.997279,10
instance12_nreq500_nveh10_gamma458,0.076682,107001.639896,0.996342,10
instance14_nreq500_nveh10_gamma465,0.073054,107482.841113,0.996907,10
instance9_nreq500_nveh10_gamma438,0.074165,103329.335935,0.996403,10
instance6_nreq500_nveh10_gamma436,0.073752,103226.683788,0.997428,10
instance16_nreq500_nveh10_gamma443,0.074494,103861.929516,0.997090,10
instance22_nreq500_nveh10_gamma440,0.091012,100882.530141,0.997314,10
instance23_nreq500_nveh10_gamma442,0.074627,100464.818390,0.991716,10
instance26_nreq500_nveh10_gamma469,0.090836,109873.776334,0.996670,10
instance28_nreq500_nveh10_gamma477,0.076653,110272.411016,0.997732,10
instance19_nreq500_nveh10_gamma441,0.076850,100088.456657,0.997502,10
instance1_nreq500_nveh10_gamma432,0.086528,101089.670206,0.997266,10
instance3_nreq500_nveh10_gamma461,0.088164,104591.461373,0.998424,10
instance29_nreq500_nveh10_gamma446,0.095943,102743.391673,0.997897,10
instance17_nreq500_nveh10_gamma452,0.091590,106740.371797,0.997428,10
instance18_nreq500_nveh10_gamma448,0.074002,105627.279502,0.996556,10
instance11_nreq500_nveh10_gamma431,0.090024,98445.437968,0.999100,10
instance2_nreq500_nveh10_gamma463,0.082472,108267.786889,0.998199,10
instance15_nreq500_nveh10_gamma443,0.075146,103135.565818,0.997706,10
instance5_nreq500_nveh10_gamma471,0.075760,109971.328155,0.996337,10
instance8_nreq500_nveh10_gamma454,0.075096,105872.464866,0.996897,10
instance25_nreq500_nveh10_gamma424,0.076051,96015.969692,0.998958,10
instance27_nreq500_nveh10_gamma452,0.078029,105451.564482,0.996505,10
instance4_nreq500_nveh10_gamma447,0.077538,102995.425882,0.991957,10
