100 2 100 84 35.31
# demands
45 31 28 17 21 22 33 22 43 23 31 25 26 27 26 28 26 18 30 46 38 27 44 20 50 32 30 28 24 19 39 28 34 23 37 25 42 38 29 24 20 20 30 19 23 26 38 27 20 26 28 26 26 43 29 25 33 22 31 25 22 30 32 35 22 28 18 22 28 17 30 27 23 30 38 24 36 32 38 19 20 18 22 32 22 20 20 37 20 38 41 22 20 40 30 28 23 32 21 21
# request locations
50 50
48 34
77 19
41 72
74 8
44 60
38 82
63 12
20 82
34 78
45 84
14 55
21 16
15 91
31 73
39 32
56 57
11 40
47 87
34 84
2 55
82 49
44 79
90 39
98 90
26 41
37 92
32 84
97 24
13 8
25 0
69 5
46 50
42 30
54 15
16 6
2 24
67 99
37 33
6 66
93 91
92 31
13 81
63 95
67 18
6 100
6 97
15 1
93 32
89 57
66 1
61 96
60 97
6 75
23 9
30 66
42 71
24 44
25 77
3 47
51 63
68 16
98 8
19 37
61 23
54 36
65 87
65 25
18 19
18 85
36 76
36 8
98 26
64 11
74 88
25 93
86 35
17 85
38 10
53 90
96 74
25 3
57 12
57 56
99 90
13 10
7 94
98 60
97 28
74 0
43 30
42 6
35 73
13 60
91 87
52 82
70 6
51 85
24 28
12 64
99 58
60 35
20 43
86 5
61 92
62 12
45 98
54 4
89 15
94 44
5 5
21 58
49 100
9 60
89 86
54 45
71 2
13 82
85 82
13 70
7 17
97 34
31 30
31 7
42 29
23 19
44 91
62 24
32 4
26 11
97 45
83 76
39 68
99 40
44 20
22 41
81 16
39 53
90 4
85 53
95 63
72 18
31 74
8 87
32 95
32 92
16 62
44 46
24 3
70 8
24 13
15 92
33 40
31 79
61 21
83 38
73 19
61 41
50 40
7 47
14 99
0 31
34 12
38 85
26 73
62 36
81 35
64 24
7 23
83 37
12 2
15 80
77 30
52 38
70 58
52 4
83 38
57 81
34 9
96 88
38 57
39 15
10 81
74 36
79 100
46 88
41 23
91 86
53 99
92 14
19 76
78 20
23 98
97 17
86 1
66 51
52 89
33 49
34 61
67 29
24 82
