100 2 100 89 48.83
# demands
20 23 30 38 34 49 25 50 19 18 21 18 28 40 20 32 25 32 39 33 36 36 22 23 31 29 29 32 27 34 17 22 18 25 27 33 24 27 26 40 32 30 24 32 28 20 28 43 40 18 23 30 20 17 26 26 34 27 18 19 33 22 23 34 20 22 22 40 28 29 29 27 32 29 34 31 30 24 19 22 24 22 31 22 22 23 20 17 28 28 25 36 27 18 35 32 26 25 23 20
# request locations
50 50
76 81
70 78
3 42
63 91
50 89
93 93
66 32
50 26
10 20
85 2
64 26
61 9
39 9
51 90
4 95
92 51
1 40
67 59
23 45
11 52
3 5
85 62
97 6
82 76
19 8
10 51
94 78
16 4
95 66
2 83
37 3
24 59
67 19
15 11
2 4
55 80
48 82
62 51
21 35
33 15
89 16
62 50
42 47
88 20
15 30
5 98
11 32
52 29
9 24
55 62
89 2
3 96
25 4
45 6
24 35
32 4
35 54
87 92
4 8
28 12
65 41
29 27
9 4
60 5
25 66
18 29
90 37
29 28
27 89
57 39
58 42
51 78
26 82
25 26
93 97
56 10
36 50
16 10
72 76
68 60
6 51
12 47
44 30
75 74
69 53
86 18
91 39
7 100
68 34
11 30
72 32
21 98
8 56
48 66
15 91
34 74
10 23
11 4
91 45
52 78
32 31
89 38
4 26
9 70
84 97
98 81
8 12
60 86
65 72
75 74
93 10
82 87
9 56
12 93
96 4
74 21
19 99
96 94
25 70
72 21
81 14
89 86
12 58
10 96
50 5
63 22
11 95
97 43
19 20
64 79
41 78
31 81
87 19
30 69
12 23
38 16
13 10
25 85
69 98
38 89
29 20
16 49
60 68
22 82
33 22
32 16
32 0
41 97
95 60
23 16
47 98
24 5
90 75
57 43
15 19
87 90
84 57
33 61
34 7
83 5
22 69
95 27
22 32
47 51
28 71
39 6
40 92
80 44
16 30
35 55
19 54
31 62
36 70
97 84
88 99
50 31
78 6
42 97
28 90
41 28
80 41
64 66
42 40
53 26
39 88
50 11
24 18
23 17
53 13
73 90
82 21
99 3
60 16
47 75
47 51
19 24
4 90
32 46
11 71
92 36
