100 2 100 92 46.64
# demands
26 23 31 37 28 32 21 34 23 25 39 24 25 25 33 39 21 19 24 25 27 21 19 39 32 22 26 23 29 17 23 20 21 21 34 26 22 37 29 26 29 22 25 24 19 22 24 32 33 25 22 28 23 44 33 38 30 32 18 37 22 23 21 34 24 35 38 21 27 41 22 26 34 30 17 18 27 50 23 28 23 26 44 22 24 33 34 35 31 29 28 44 28 22 24 36 30 20 28 32
# request locations
50 50
78 19
80 56
2 68
4 69
5 64
12 20
94 36
29 78
20 56
38 45
3 33
57 66
77 35
57 12
76 32
19 43
46 69
37 97
91 50
92 33
80 49
6 22
26 26
93 28
17 13
34 63
28 81
51 52
2 57
87 17
12 13
46 30
75 64
14 58
68 87
65 44
75 53
47 14
4 41
45 2
65 41
91 85
55 20
26 75
91 61
23 77
31 38
20 39
82 33
68 3
91 80
51 62
91 40
8 74
96 48
6 87
100 43
45 27
29 88
60 21
43 1
93 65
29 55
60 95
91 94
28 30
21 82
20 64
15 42
16 8
69 89
73 66
15 12
87 52
85 90
5 56
28 84
79 35
7 73
96 97
53 95
57 58
69 54
85 54
90 32
29 12
84 80
92 47
74 18
44 99
68 81
38 28
35 94
18 15
84 80
52 16
38 54
66 75
37 16
48 79
38 51
76 57
6 93
36 92
88 86
37 44
56 48
98 30
29 6
12 82
81 76
1 5
67 27
55 75
87 85
36 34
69 42
80 20
2 17
46 29
79 2
12 91
54 54
1 19
31 53
50 88
14 1
53 60
97 95
26 55
85 58
27 9
37 93
81 15
74 71
11 27
57 13
58 81
20 37
92 87
82 78
77 32
64 79
9 28
81 49
35 65
91 7
40 6
64 38
89 24
65 46
85 2
38 74
91 61
2 30
8 11
9 77
49 2
22 49
11 98
55 68
78 17
80 27
19 90
19 16
46 63
69 33
64 68
69 79
52 57
43 96
50 9
48 98
49 93
50 90
38 6
48 20
19 45
99 34
56 48
27 22
61 87
47 78
78 46
94 47
51 74
6 89
2 27
7 9
35 6
12 0
34 99
30 78
55 73
34 3
20 38
83 19
56 77
4 24
6 95
