100 2 100 90 35.31
# demands
35 34 23 50 31 28 34 23 32 23 26 24 23 20 27 33 25 30 37 31 23 39 22 30 24 21 28 30 19 32 33 18 25 17 36 18 23 35 21 33 37 23 22 19 34 24 24 22 19 24 46 23 37 21 22 24 45 36 18 22 40 32 21 44 18 23 29 19 36 19 28 34 20 23 29 37 35 39 19 30 29 24 35 32 24 26 22 21 44 31 20 19 34 17 32 38 42 28 22 32
# request locations
50 50
35 96
34 69
21 75
23 1
70 91
75 37
79 13
75 12
49 27
32 92
87 6
39 84
49 16
65 29
9 33
43 19
98 18
43 56
14 32
91 99
38 58
91 19
54 97
52 95
51 85
5 26
91 6
73 70
22 85
59 32
43 54
98 47
82 83
34 92
66 83
10 96
7 73
96 76
72 88
81 31
36 16
45 95
5 15
24 37
84 45
38 90
34 42
22 2
84 97
3 76
12 85
76 85
93 0
86 11
76 54
54 44
84 9
1 53
28 15
63 76
38 61
26 82
91 16
61 16
94 52
89 12
87 3
59 63
19 98
13 31
82 59
82 65
50 18
12 25
59 79
22 100
57 17
7 61
39 65
80 50
36 6
27 86
49 66
56 74
64 55
43 4
21 55
9 61
47 3
22 44
24 51
98 35
12 42
55 46
1 86
76 76
42 15
42 62
82 7
18 16
22 74
83 25
53 81
45 41
2 95
33 18
30 72
13 34
26 77
99 52
40 88
75 76
22 1
74 54
99 22
62 57
99 4
29 40
69 30
41 18
89 51
2 39
28 4
87 93
8 83
86 6
64 62
38 95
71 9
96 77
48 7
91 79
61 84
11 82
17 55
87 59
62 80
62 21
4 6
17 95
60 39
50 66
49 64
14 94
34 74
72 83
4 20
87 3
61 22
52 11
29 89
93 57
2 55
35 34
86 81
70 82
60 64
82 31
55 82
14 50
57 68
51 67
88 60
17 48
47 15
34 51
25 70
60 86
42 10
69 56
37 4
72 11
18 91
11 66
2 63
9 64
87 17
76 83
58 54
84 77
14 95
42 17
19 53
82 16
23 34
67 12
58 82
48 83
42 74
80 19
96 99
60 14
99 47
14 46
42 9
61 97
36 26
54 87
72 20
76 51
