instance_name,time_seconds,objective_value,jain_fairness,num_vehicles
instance3_nreq1000_nveh20_gamma971,2.065116,11115.931061,0.953414,20
instance9_nreq1000_nveh20_gamma859,2.065230,11962.074554,0.965728,20
instance15_nreq1000_nveh20_gamma927,2.003477,11926.145694,0.958472,20
instance6_nreq1000_nveh20_gamma898,1.830491,11429.202341,0.961371,20
instance4_nreq1000_nveh20_gamma904,1.777990,10931.485620,0.940921,20
instance28_nreq1000_nveh20_gamma919,1.820142,11766.042638,0.971479,20
instance11_nreq1000_nveh20_gamma874,1.932883,11117.749798,0.944478,20
instance30_nreq1000_nveh20_gamma881,1.998741,13045.176397,0.972802,20
instance18_nreq1000_nveh20_gamma913,1.674279,11120.608093,0.971791,20
instance17_nreq1000_nveh20_gamma878,1.866341,12116.038898,0.969985,20
instance23_nreq1000_nveh20_gamma902,1.835435,11550.802984,0.950056,20
instance8_nreq1000_nveh20_gamma909,1.889274,12393.998784,0.959772,20
instance21_nreq1000_nveh20_gamma926,1.807727,10518.972540,0.932303,20
instance29_nreq1000_nveh20_gamma874,1.844621,11615.846294,0.950434,20
instance26_nreq1000_nveh20_gamma907,1.869215,11426.924574,0.963882,20
instance13_nreq1000_nveh20_gamma863,2.000743,12868.689201,0.967138,20
instance22_nreq1000_nveh20_gamma895,1.725482,11530.363135,0.957985,20
instance20_nreq1000_nveh20_gamma886,1.813607,11513.122729,0.936436,20
instance12_nreq1000_nveh20_gamma835,1.765329,10487.612664,0.965317,20
instance1_nreq1000_nveh20_gamma890,1.817106,11640.427096,0.895482,20
instance5_nreq1000_nveh20_gamma934,2.054605,12126.054072,0.920818,20
instance2_nreq1000_nveh20_gamma851,2.055368,11343.466812,0.950958,20
instance10_nreq1000_nveh20_gamma870,2.112514,12533.066070,0.961885,20
instance25_nreq1000_nveh20_gamma900,2.071002,12314.578294,0.956268,20
instance24_nreq1000_nveh20_gamma854,2.154575,11937.847284,0.962389,20
instance14_nreq1000_nveh20_gamma913,2.177824,12525.855776,0.947443,20
instance19_nreq1000_nveh20_gamma926,2.160750,12746.912680,0.952849,20
instance7_nreq1000_nveh20_gamma907,2.093709,12288.662301,0.951026,20
instance27_nreq1000_nveh20_gamma862,2.103917,12305.763190,0.976380,20
instance16_nreq1000_nveh20_gamma872,2.215964,12995.548940,0.978888,20
