50 2 100 44 33.44
# demands
21 35 25 31 26 19 36 29 42 30 21 21 31 46 42 23 39 28 24 31 29 26 31 19 24 21 32 41 32 24 27 23 33 21 24 22 28 36 34 45 24 38 22 23 17 50 36 46 19 30
# request locations
35 35
4 16
69 21
49 58
15 1
33 20
33 20
30 28
21 43
46 29
29 2
38 13
14 14
20 34
45 6
27 16
69 10
13 31
19 24
8 3
63 26
11 64
63 37
19 42
9 70
35 8
27 62
21 28
31 47
30 44
54 65
52 66
16 17
9 21
61 45
1 2
32 13
19 48
49 59
25 38
62 32
49 30
54 62
21 57
5 27
32 40
54 8
53 59
13 40
65 45
40 46
43 39
25 39
12 50
26 13
42 1
18 48
36 3
66 40
32 20
8 67
42 30
60 48
50 46
43 65
31 47
51 23
5 70
59 57
38 31
63 23
70 59
6 57
11 20
9 19
14 70
29 8
29 28
60 49
31 17
35 66
21 19
4 25
70 21
18 32
4 12
53 29
24 1
3 51
31 68
45 64
58 60
69 6
35 24
32 53
38 23
15 28
47 33
46 37
50 9
36 64
