50 2 100 45 15.62
# demands
45 31 28 17 21 22 33 22 43 23 31 25 26 27 26 28 26 18 30 46 38 27 44 20 50 32 30 28 24 19 39 28 34 23 37 25 42 38 29 24 20 20 30 19 23 26 38 27 20 26
# request locations
35 35
38 53
9 65
57 64
41 55
47 43
12 21
50 61
14 35
68 17
19 16
11 43
39 4
1 66
69 42
14 45
9 30
55 18
34 51
45 56
33 29
9 25
5 10
41 22
5 57
46 9
1 24
28 1
41 23
34 9
61 41
1 53
66 37
43 30
69 3
69 56
37 41
14 12
4 17
40 57
12 24
37 24
14 59
3 55
2 18
6 10
64 25
66 3
55 3
65 35
55 49
63 64
25 40
57 36
63 58
64 59
12 63
49 70
24 37
15 23
34 55
59 68
43 26
46 64
2 42
4 52
21 41
26 5
37 63
32 24
50 32
20 66
44 51
10 58
57 40
40 41
13 1
10 38
16 48
54 50
59 23
27 21
27 65
46 8
22 26
59 31
5 30
57 52
15 6
42 56
35 25
61 11
45 47
30 41
44 59
16 68
36 49
63 51
69 52
61 66
66 64
