50 2 100 47 66.33
# demands
33 25 28 29 32 18 28 33 17 33 44 46 21 41 33 30 19 38 43 38 25 28 27 28 22 21 30 28 26 20 24 17 50 27 20 28 36 18 21 19 40 33 21 37 29 27 19 27 34 38
# request locations
35 35
15 3
0 37
28 6
4 33
26 22
8 58
44 48
10 26
66 48
48 33
66 26
16 37
24 44
19 62
2 56
46 8
7 62
36 25
24 47
28 57
65 17
22 69
24 60
51 13
9 9
29 19
60 20
60 66
70 67
56 49
10 17
51 50
63 44
58 46
13 15
29 23
24 51
35 30
1 32
62 50
37 42
18 1
53 38
11 22
7 59
40 24
62 39
32 25
16 53
4 15
62 25
20 40
1 24
36 69
9 45
31 15
38 10
26 16
59 41
65 10
5 61
9 43
8 23
30 2
45 54
29 33
69 53
65 63
3 42
2 61
19 47
47 28
65 29
27 49
9 42
65 23
21 8
32 28
11 52
66 49
45 51
38 30
61 61
1 6
23 15
54 21
14 68
5 31
68 1
66 45
2 58
56 65
5 37
59 60
67 18
66 16
64 44
54 48
41 17
3 41
