50 2 100 45 27.81
# demands
33 19 30 21 18 17 23 30 23 28 22 24 25 20 22 28 20 35 28 25 24 18 31 50 23 33 47 24 36 31 27 26 27 35 21 24 23 19 27 18 39 21 27 23 23 25 25 23 21 24
# request locations
35 35
66 63
12 3
56 66
48 50
33 50
56 38
69 11
25 49
15 60
70 11
45 49
28 9
65 61
26 29
27 1
60 40
24 20
46 50
65 51
69 58
51 71
61 1
57 7
68 49
6 14
5 25
33 24
56 32
66 66
34 42
16 26
17 3
19 58
38 4
48 46
1 42
44 17
61 51
2 63
37 15
28 50
43 16
71 42
22 28
24 64
51 60
23 54
50 41
58 28
14 3
27 14
53 6
12 41
20 23
43 1
60 44
24 37
33 1
31 16
53 67
58 50
10 20
39 25
42 20
26 25
42 1
31 58
55 55
46 42
66 43
13 69
55 48
1 39
49 22
36 20
3 37
63 18
2 27
28 68
31 52
68 9
35 25
27 29
24 46
46 10
19 15
14 12
1 70
65 15
1 20
63 41
1 58
44 66
26 53
46 61
12 41
31 53
39 44
3 63
38 5
