50 2 100 46 47.73
# demands
38 28 21 36 29 48 25 41 36 30 32 40 27 42 18 22 47 46 26 17 27 29 36 31 32 19 37 23 40 19 23 23 25 35 46 50 26 27 26 24 23 21 30 32 35 30 24 25 19 33
# request locations
35 35
4 22
66 0
51 47
25 53
21 10
23 68
38 56
24 11
6 23
63 4
61 36
13 47
20 3
13 59
48 45
44 49
50 51
31 62
35 52
64 43
1 47
20 59
9 6
18 44
11 19
20 11
42 35
10 61
62 31
62 55
5 25
38 59
11 65
63 68
22 30
50 1
9 59
46 44
49 62
57 22
12 27
61 3
32 54
32 62
47 37
1 40
20 25
23 26
36 21
8 32
25 17
70 57
36 17
22 18
36 22
46 33
60 49
38 62
26 7
33 22
37 15
6 49
24 21
10 60
29 3
36 20
10 70
3 34
41 37
17 58
39 5
40 48
31 19
18 29
16 53
11 61
38 3
12 23
54 52
29 9
55 46
14 47
41 29
10 18
45 63
54 11
0 41
12 46
1 40
51 8
45 18
8 67
8 3
68 11
37 7
24 56
68 32
60 55
9 33
12 32
