50 2 100 45 80.9
# demands
20 23 23 18 24 20 18 29 22 18 17 38 24 20 28 20 31 32 23 26 34 30 44 39 37 23 18 25 23 18 27 38 23 24 36 20 18 17 38 22 50 19 23 21 20 37 29 25 17 30
# request locations
35 35
32 23
23 13
63 39
17 16
8 34
22 12
57 60
37 31
22 25
18 52
38 59
64 8
40 18
54 51
67 67
54 17
29 42
29 56
60 66
23 45
53 8
48 22
6 57
64 1
32 22
54 68
38 56
51 14
66 68
58 39
27 36
67 21
52 44
35 27
64 24
3 71
34 9
43 65
11 1
12 1
66 48
20 41
35 55
66 7
41 56
60 0
1 45
46 62
50 8
5 10
65 2
3 54
69 3
10 66
35 36
53 36
45 68
34 63
21 12
35 32
63 0
34 32
15 5
57 61
30 35
43 2
12 49
25 55
37 70
28 11
42 20
55 10
1 26
29 70
15 4
44 10
20 58
2 48
8 39
12 28
52 19
19 64
66 26
10 58
8 31
69 14
7 32
22 38
43 36
42 65
70 49
53 61
22 70
23 33
25 30
16 28
8 61
10 24
65 17
2 24
