instance_name,time_seconds,objective_value,jain_fairness,num_vehicles
instance2_nreq50_nveh2_gamma41,0.008834,458.967842,0.939221,2
instance6_nreq50_nveh2_gamma43,0.005215,292.088876,0.997007,2
instance5_nreq50_nveh2_gamma47,0.004900,283.017004,0.999389,2
instance29_nreq50_nveh2_gamma45,0.005347,291.057412,0.996599,2
instance26_nreq50_nveh2_gamma50,0.004723,251.021613,0.999223,2
instance11_nreq50_nveh2_gamma45,0.005026,219.153797,0.990889,2
instance18_nreq50_nveh2_gamma43,0.005182,297.078726,0.896304,2
instance15_nreq50_nveh2_gamma48,0.006297,343.062196,0.998566,2
instance4_nreq50_nveh2_gamma46,0.006798,288.070506,0.996109,2
instance8_nreq50_nveh2_gamma45,0.006083,473.130327,0.998389,2
instance17_nreq50_nveh2_gamma45,0.004459,259.134168,0.897152,2
instance20_nreq50_nveh2_gamma44,0.005306,272.164586,0.996552,2
instance9_nreq50_nveh2_gamma46,0.006220,346.645578,0.979544,2
instance12_nreq50_nveh2_gamma46,0.005140,421.835769,0.961538,2
instance1_nreq50_nveh2_gamma50,0.004782,347.146258,0.996351,2
instance21_nreq50_nveh2_gamma44,0.005106,228.207130,0.993806,2
instance19_nreq50_nveh2_gamma43,0.006401,453.001138,0.999956,2
instance30_nreq50_nveh2_gamma42,0.004918,272.096974,0.998057,2
instance23_nreq50_nveh2_gamma42,0.004775,272.424376,0.987981,2
instance25_nreq50_nveh2_gamma45,0.005619,409.103518,0.996278,2
instance27_nreq50_nveh2_gamma41,0.006197,405.028421,0.999506,2
instance14_nreq50_nveh2_gamma45,0.004533,347.024757,0.999593,2
instance28_nreq50_nveh2_gamma44,0.004988,404.309732,0.994516,2
instance13_nreq50_nveh2_gamma47,0.005070,410.688822,0.989615,2
instance7_nreq50_nveh2_gamma41,0.006332,435.065445,0.944462,2
instance10_nreq50_nveh2_gamma48,0.005279,335.233729,0.963297,2
instance24_nreq50_nveh2_gamma45,0.004615,299.145569,0.990681,2
instance22_nreq50_nveh2_gamma43,0.004963,427.513960,0.969799,2
instance16_nreq50_nveh2_gamma43,0.006385,334.411070,0.989744,2
instance3_nreq50_nveh2_gamma49,0.005105,209.054423,0.994875,2
