instance_name,time_seconds,objective_value,jain_fairness,num_vehicles
instance20_nreq5000_nveh100_gamma4520,8.678879,3262977.896553,0.996015,100
instance1_nreq5000_nveh100_gamma4474,8.567227,3240803.385810,0.996378,100
instance4_nreq5000_nveh100_gamma4674,8.788256,3371914.737237,0.996826,100
instance6_nreq5000_nveh100_gamma4523,8.707710,3298441.270243,0.996440,100
instance22_nreq5000_nveh100_gamma4431,8.726731,3230715.212761,0.996043,100
instance23_nreq5000_nveh100_gamma4413,7.952606,3230722.883020,0.996132,100
instance21_nreq5000_nveh100_gamma4523,8.719730,3285472.010199,0.996882,100
instance27_nreq5000_nveh100_gamma4562,8.331666,3301329.101916,0.996382,100
instance5_nreq5000_nveh100_gamma4677,8.968642,3419885.908987,0.997272,100
instance29_nreq5000_nveh100_gamma4378,8.221245,3167121.643279,0.996470,100
instance3_nreq5000_nveh100_gamma4590,8.463141,3355189.808695,0.997399,100
instance16_nreq5000_nveh100_gamma4652,7.919516,3422002.641881,0.996174,100
instance25_nreq5000_nveh100_gamma4394,8.084343,3208776.339594,0.996416,100
instance19_nreq5000_nveh100_gamma4532,8.035896,3279399.158661,0.995719,100
instance8_nreq5000_nveh100_gamma4463,8.457156,3229745.619978,0.996031,100
instance7_nreq5000_nveh100_gamma4546,8.650615,3252873.128801,0.996706,100
instance10_nreq5000_nveh100_gamma4682,8.695378,3390752.844834,0.996450,100
instance30_nreq5000_nveh100_gamma4505,8.634260,3261319.605557,0.996178,100
instance24_nreq5000_nveh100_gamma4496,8.566500,3268608.570435,0.996006,100
instance15_nreq5000_nveh100_gamma4623,8.560549,3355475.650287,0.995596,100
instance9_nreq5000_nveh100_gamma4676,8.694890,3358883.324603,0.997244,100
instance11_nreq5000_nveh100_gamma4574,8.598581,3335013.844632,0.995752,100
instance12_nreq5000_nveh100_gamma4453,8.467551,3260001.360281,0.996394,100
instance13_nreq5000_nveh100_gamma4482,8.126690,3233366.299432,0.996220,100
instance2_nreq5000_nveh100_gamma4752,8.656065,3453780.537941,0.995206,100
instance26_nreq5000_nveh100_gamma4413,8.562570,3222929.857751,0.996419,100
instance28_nreq5000_nveh100_gamma4299,8.593525,3135003.707466,0.996576,100
instance14_nreq5000_nveh100_gamma4454,8.643907,3226184.701073,0.996355,100
instance18_nreq5000_nveh100_gamma4579,8.556394,3312076.161561,0.995192,100
instance17_nreq5000_nveh100_gamma4511,9.332513,3274945.847006,0.995455,100
